file_name,title,artist,album,genre,duration
FallingInLoveSpedUp-NaNgocAnh-14967086.mp3,Falling In Love (Sped Up),Na Ngọc Anh,NhacCuaTui.com,Nhạc Trẻ,239
DungXaAnhNhefeatHarveySpedUp-Kevindauroi-15081616.mp3,Đừng Xa Anh Nhé (feat. Harvey) [Sped Up],Kevindauroi,NhacCuaTui.com,Nhạc Trẻ,212
XinDungNhacMaySpedup-BRayHanSara-16059231.mp3,Xin Đừng Nhấc Máy (Spedup),B Ray & Han Sara,Xin Đừng Nhấc Máy (Spedup),R&B/Hip Hop/Rap,160
AiDuaEmVeSpedUp-TiaLeThienHieu-16088242.mp3,Ai Đưa Em Về (Sped Up),"Tia, Lê Thiện Hiếu",NhacCuaTui.com,Nhạc Trẻ,188
TinhCoYeuEmSpedUpVer-KuunDucNam-16087724.mp3,Tình Cờ Yêu Em (Sped Up Ver.),Kuun Đức Nam,NhacCuaTui.com,Nhạc Trẻ,180
ChuaTeSpeedUp-BuiCongNam-15350096.mp3,Chúa Tể (Speed Up),Bùi Công Nam,Chúa Tể (Speed Up),Pop,113
NgayKhongCoEmSpedUp-ThinK-8756717.mp3,Ngày Không Có Em (Sped Up),ThịnK,NhacCuaTui.com,Nhạc Trẻ,137
TuHaoMauAoLinh-ThaiHoc-17116793.mp3,Tự Hào Màu Áo Lính,Thái Học,NhacCuaTui.com,Nhạc Trẻ,211
RuouHongNangLy-LapNguyen-8521514.mp3,Rượu Hồng Nâng Ly,Lập Nguyên,NhacCuaTui.com,Nhạc Trẻ,203
132-TWICEChaeYoungTwiceMinaTwiceTzuyuTwice-7125925.ogg,"1, 3, 2","TWICE, Chae Young (Twice), Mina (Twice), Tzuyu (Twice)",NhacCuaTui.com,Nhạc Hàn,198
7LanVapNga8LanDungLen-MiiNaDREAMeRRIN9DREAMeRVietNam-16713741.ogg,"7 Lần Vấp Ngã, 8 Lần Đứng Lên","MiiNa (DREAMeR), RIN9, DREAMeR (Việt Nam)",NhacCuaTui.com,Nhạc Trẻ,218
AnhChuaTungHetYeu-buitruonglinh-16952704.ogg,Anh Chưa Từng Hết Yêu,buitruonglinh ,NhacCuaTui.com,Nhạc Trẻ,208
AnhDaChoRatLauDemo-SixkieDawgz-36239217.ogg,Anh Đã Chờ Rất Lâu (Demo),Sixkie Dawgz,NhacCuaTui.com,Nhạc Trẻ,59
AnhThoiNhanNhuongCover-KieuChi-15286015.ogg,Anh Thôi Nhân Nhượng (Cover),Kieu Chi,Anh Thôi Nhân Nhượng (Cover),Pop,286
CanTinhNhuThe-DICKSONVietNamThanhDatLeChiTrung-10977857.ogg,Cạn Tình Như Thế,"DICKSON (Việt Nam), Thành Đạt, Lê Chí Trung",NhacCuaTui.com,Nhạc Trẻ,295
Cay-KhacHungJimmiNguyen-36559131.ogg,Cay,"Khắc Hưng, Jimmi Nguyen",Cay,Pop,214
ChamLaiMotChut-MabelVietNamHastVietNam-36635708.ogg,Chậm Lại Một Chút,"Mabel (Việt Nam), Hast (Việt Nam)",NhacCuaTui.com,Rap Việt,176
ChangTheSongThieuEmLofiVersion-KaleeHoangCuong-7056014.ogg,Chẳng Thể Sống Thiếu Em (Lofi Version),"Kalee Hoàng, Cường",NhacCuaTui.com,Nhạc Trẻ,248
ChayNgayDi-SonTungMTP-5468704.ogg,Chạy Ngay Đi,Sơn Tùng M-TP,Chạy Ngay Đi (Single),Nhạc Trẻ,248
ChiCanDuocNgoiDayVoiEmLofiVer-DKiesVietNam-35283114.ogg,Chỉ Cần Được Ngồi Đây Với Em (Lofi Ver.),D.Kies (Việt Nam),NhacCuaTui.com,Nhạc Trẻ,245
ChungTaCuaHienTai-SonTungMTP-6892340.ogg,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,NhacCuaTui.com,Nhạc Trẻ,301
ChungTaKhongThuocVeNhau-SonTungMTP-4528181.ogg,Chúng Ta Không Thuộc Về Nhau,Sơn Tùng M-TP,NhacCuaTui.Com,Nhạc Trẻ,233
CoDangDeYeuThuong-DucAnhDuUyen-35764062.ogg,Có Đáng Để Yêu Thương?,"Đức Anh, Du Uyên",NhacCuaTui.com,Nhạc Trẻ,267
DiCungAnh-buitruonglinh52Hz-16952689.ogg,Đi Cùng Anh,"buitruonglinh, 52Hz",NhacCuaTui.com,Nhạc Trẻ,188
GentleBaby-MyAnhg0nny-36490578.ogg,"Gentle, Baby","Mỹ Anh, g0nny","Gentle, Baby",R&B/Hip Hop/Rap,211
GoodGirl-TrangPhap-16775210.ogg,Good Girl,Trang Pháp,Good Girl,Pop,224
HopeNot-BLACKPINK-6291965.ogg,Hope Not,BLACKPINK,Hope Not,Nhạc Hàn,191
HowYouLikeThat-BLACKPINK-6720100.ogg,How You Like That,BLACKPINK,How You Like That,Nhạc Hàn,180
KhiCoDonEmNhoAiLofiHITStoryLiveVersion-VickyNhungHITStory-17121774.ogg,Khi Cô Đơn Em Nhớ Ai - Lofi (HITStory Live Version),"Vicky Nhung, HITStory",NhacCuaTui.com,Nhạc Trẻ,258
KhongConEm-HaiDangDooWeezaTeddyDoox-35009314.ogg,Không Còn Em,"Hải Đăng Doo, Weeza, Teddy Doox",NhacCuaTui.com,Nhạc Trẻ,195
KhoVeNuCuoi-DatGDuUyen-6114344.ogg,Kho Ve Nu Cuoi,"Dat G,Du Uyen",Kho Ve Nu Cuoi,Pop,332
KickIt-BLACKPINK-6291964.ogg,Kick It,BLACKPINK,Kick It,Nhạc Hàn,191
LaAnhLofiVer-PhamLichQuanvrox-8870737.ogg,Là Anh (Lofi Ver.),"Phạm Lịch, Quanvrox",NhacCuaTui.com,Nhạc Trẻ,254
Lalisa-LISA-7086697.ogg,Lalisa,리사 (LISA)   ,Lalisa,Nhạc Hàn,200
LaoTamKhoTu-ThanhHungIdol-8783607.ogg,Lao Tâm Khổ Tứ,Thanh Hưng Idol,NhacCuaTui.com,Nhạc Trẻ,346
LovesickGirls-BLACKPINK-6720104.ogg,Lovesick Girls,BLACKPINK,Lovesick Girls,Nhạc Hàn,192
LoveToHateMe-BLACKPINK-6720106.ogg,Love To Hate Me,BLACKPINK,Love To Hate Me,Nhạc Hàn,169
Manifest-hooliganfeatDuongDomic-35091593.ogg,Manifest,hooligan. feat. Dương Domic,Manifest,Pop,235
MapMoLofiVersion-PhiPhuongAnhTheFaceRIN9-7125501.ogg,Mập Mờ (Lofi Version),"Phí Phương Anh (The Face), RIN9",NhacCuaTui.com,Nhạc Trẻ,228
ImFineWithoutYouHereextendedVersion-DaniDHastVietNamMableVietNam-36634716.ogg,I'm Fine Without You Here (extended Version),"Dani D, Hast (Việt Nam), Mable (Việt Nam)",NhacCuaTui.com,Nhạc Trẻ,192
